Rest of State Violent and Disruptive Incidents 2010-2011 (violent incident headings are shaded),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"***In a small number of incidents, a school's School Violence Index (SVI) may have been adjusted as a result of a VADIR reconciliation and/or Weighted Incident Exclusion Process (WIEP). The SVI is comparative measure of the level of violence in a school.  The SVI is computed in accordance with a formula established by the Commissioner that takes into account the enrollment of the school and is weighted to reflect the most serious violent incidents.  The VADIR reconciliation is a multi-step process that it used to ensure that VADIR data submitted by the school is accurate. The WIEP is the process by which a school district demonstrates to SED that one or more of its schools should not be designated as persistently dangerous because some or all of the violent incidents it reported on the Violent and Disruptive Incident Report (VADIR) summary form were allegedly directly related to a student offender's disability.  There are also additional WIEP requirements that a school district must satisfy before SED will adjust a school's SVI.  More information regarding the VADIR reconciliation and/or WIEP is available upon request.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,District,School,BEDS Code,Grade Organization,Need/Resource Category,School Type,Enrollment,Homicide,,Forcible Sex Offenses,,Other Sex Offenses,,Robbery,,Assault With Serious Physical Injury,,Arson,Kidnapping,,Assault with Physical Injury,,Reckless Endangerment,,Minor Altercations,,"Intimidation, Harassment, Menacing, or Bullying",,Burglary,,Criminal Mischief,,"Larceny, or Other Theft",,Bomb Threat,False Alarm,Riot,,Weapon Possession,,Drug Possession,Alcohol Possession,Other Disruptive
,,,,,,,,With Weapon(s),Without Weapon(s),With Weapon(s),Without Weapon(s),With Weapon(s),Without Weapon(s),With Weapon(s),Without Weapon(s),With Weapon(s),Without Weapon(s),With Weapon(s),With Weapon(s),Without Weapon(s),With Weapon(s),Without Weapon(s),With Weapon(s),Without Weapon(s),With Weapon(s),Without Weapon(s),With Weapon(s),Without Weapon(s),With Weapon(s),Without Weapon(s),With Weapon(s),Without Weapon(s),With Weapon(s),Without Weapon(s),,,With Weapon(s),Without Weapon(s),Through Screening,Under Other Circumstances,,,
ALBANY,Guilderland Central School District,Westmere Elementary School,010802060004,Elementary,Low Needs,Public,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ALBANY,Menands Union Free School District,Menands School,010615020001,Elementary,Average Needs,Public,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALBANY,North Colonie Csd,Blue Creek School,010623060002,Elementary,Low Needs,Public,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALBANY,North Colonie Csd,Boght Hills School,010623060003,Elementary,Low Needs,Public,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,North Colonie Csd,Forts Ferry School,010623060004,Elementary,Low Needs,Public,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
ALBANY,North Colonie Csd,Latham Ridge School,010623060006,Elementary,Low Needs,Public,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALBANY,North Colonie Csd,Loudonville School,010623060007,Elementary,Low Needs,Public,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,North Colonie Csd,Maplewood School,010623060001,Elementary,Average Needs,Public,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ALBANY,North Colonie Csd,Shaker High School,010623060010,Senior High,Low Needs,Public,2066,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,29,0,35,0,0,0,0,0,5,0,0,0,0,0,1,17,18,129
ALBANY,North Colonie Csd,Shaker Junior High School,010623060009,Junior High School,Low Needs,Public,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,0,4,0,0,0,0,0,6,0,0,0,0,0,0,1,0,37
ALBANY,North Colonie Csd,Southgate School,010623060008,Elementary,Low Needs,Public,422,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ALBANY,Ravena-Coeymans-Selkirk Central School District,Albertus W Becker School,010402060002,Elementary,Average Needs,Public,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ALBANY,Ravena-Coeymans-Selkirk Central School District,Pieter B Coeymans School,010402060003,Elementary,Average Needs,Public,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
ALBANY,Ravena-Coeymans-Selkirk Central School District,Ravena-Coeymans-Selkirk Middle School,010402060008,Middle School,Average Needs,Public,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,17,0,0,0,2,0,1,0,0,0,0,0,0,3,1,10
ALBANY,Ravena-Coeymans-Selkirk Central School District,Ravena-Coeymans-Selkirk Senior High School,010402060001,Senior High,Average Needs,Public,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,2,0,0,0,0,0,3,0,0,0,0,0,1,3,0,10
ALBANY,South Colonie Central School District,Colonie Central High School,010601060008,Senior High,Average Needs,Public,1881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,0,1,0,5,0,0,0,0,0,1,5,2,69
ALBANY,South Colonie Central School District,Forest Park Elementary School,010601060010,Elementary,Average Needs,Public,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,South Colonie Central School District,Lisha Kill Middle School,010601060013,Middle School,Average Needs,Public,700,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,24,0,25,0,0,0,0,0,5,0,0,0,0,0,1,0,0,26
ALBANY,South Colonie Central School District,Roessleville School,010601060003,Elementary,Average Needs,Public,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,South Colonie Central School District,Saddlewood Elementary School,010601060005,Elementary,Average Needs,Public,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
